0,3
1,5
2,2
3,3
4,3
5,9
6,8
7,3
8,8
9,9
10,2
11,8
12,8
13,5
14,7
15,3
16,9
17,0
18,9
19,8
20,1
21,5
22,2
23,3
24,9
25,5
26,3
27,2
28,9
29,0
30,6
31,6
32,4
33,0
34,4
35,5
36,2
37,7
38,5
39,7
40,4
41,2
42,5
43,6
44,2
45,6
46,5
47,4
48,2
49,7
50,7
51,8
52,2
53,7
54,8
55,7
56,6
57,8
58,3
59,5
60,4
61,3
62,7
63,1
64,9
65,4
66,1
67,0
68,0
69,4
70,7
71,2
72,8
73,6
74,3
75,9
76,2
77,8
78,8
79,7
80,6
81,0
82,6
83,0
84,8
85,4
86,2
87,7
88,8
89,8
90,8
91,7
92,8
93,9
94,5
95,5
96,6
97,8
98,7
99,3
100,9
101,2
102,8
103,2
104,3
105,0
106,2
107,4
108,6
109,0
110,5
111,6
112,1
113,0
114,3
115,4
116,4
117,3
118,2
119,3
120,0
121,2
122,0
123,5
124,6
125,3
126,0
127,4
128,0
129,2
130,0
131,2
132,4
133,2
134,4
135,8
136,4
137,4
138,5
139,3
140,5
141,8
142,1
143,0
144,7
145,3
146,1
147,9
148,8
149,6
150,1
151,7
152,3
153,7
154,4
155,2
156,3
157,4
158,5
159,4
160,8
161,8
162,1
163,8
164,0
165,5
166,8
167,8
168,6
169,0
170,4
171,9
172,2
173,4
174,9
175,0
176,6
177,6
178,2
179,7
180,1
181,3
182,8
183,7
184,3
185,7
186,0
187,1
188,7
189,0
190,2
191,0
192,6
193,7
194,9
195,9
196,9
197,2
198,9
199,8
