0,2
1,9
2,6
3,9
4,6
5,4
6,1
7,3
8,2
9,5
10,2
11,6
12,4
13,6
14,8
15,3
16,2
17,8
18,5
19,9
20,4
21,4
22,7
23,8
24,4
25,0
26,4
27,0
28,3
29,9
30,6
31,1
32,3
33,4
34,5
35,0
36,5
37,1
38,8
39,0
40,0
41,6
42,7
43,2
44,9
45,5
46,8
47,2
48,7
49,9
50,6
51,9
52,7
53,3
54,7
55,1
56,1
57,4
58,2
59,7
60,9
61,7
62,6
63,2
64,5
65,9
66,6
67,1
68,0
69,4
70,0
71,0
72,5
73,7
74,3
75,2
76,7
77,7
78,7
79,3
80,4
81,0
82,2
83,0
84,8
85,8
86,2
87,8
88,2
89,8
90,5
91,8
92,8
93,5
94,3
95,6
96,7
97,4
98,7
99,6
100,7
101,0
102,4
103,3
104,9
105,9
106,3
107,2
108,3
109,0
110,1
111,9
112,6
113,5
114,6
115,0
116,4
117,9
118,2
119,1
120,8
121,7
122,9
123,4
124,5
125,2
126,6
127,4
128,3
129,9
130,6
131,5
132,7
133,5
134,2
135,9
136,4
137,9
138,6
139,6
140,1
141,3
142,0
143,6
144,7
145,1
146,8
147,4
148,8
149,1
150,2
151,3
152,8
153,7
154,8
155,2
156,7
157,6
158,5
159,4
160,3
161,5
162,4
163,8
164,3
165,2
166,4
167,7
168,4
169,5
170,2
171,0
172,0
173,0
174,4
175,5
176,5
177,6
178,4
179,6
180,8
181,1
182,2
183,9
184,7
185,0
186,0
187,2
188,9
189,7
190,6
191,3
192,8
193,3
194,2
195,7
196,0
197,1
198,9
199,5
